#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
761,25.0,Gonzalo Ceridono,WOLFz,,1,2,2,"$6,520"
762,25.0,Pakkapon Pongyeetho,Pxkie,,1,4,0,"$6,508"
763,,,Milostka,,2,1,2,"$6,502"
764,23.0,Jed Dixon,pikniq,,1,0,3,"$6,469"
765,20.0,Kim Geon,Zad,,0,1,0,"$6,448"
766,24.0,Eduardo Ortiz,Luxor,,1,0,0,"$6,444"
767,22.0,Bruna Bessow,bruna,,5,9,2,"$6,429"
768,26.0,Noé Hassen,NoerA,,3,2,3,"$6,412"
769,,,Bouncinballz,,1,0,4,"$6,408"
770,24.0,Jung Ju-young,Nero,,1,1,3,"$6,406"
771,,,Daya,,3,2,2,"$6,387"
772,20.0,Fernanda Patissi de Souza,Nandaa,,5,1,8,"$6,368"
773,35.0,Guillaume Beck,Scok,,0,0,0,"$6,355"
774,23.0,Elouan Louzaouen,Ayzenn,,5,2,3,"$6,338"
775,,,AttackerMindz,,0,0,0,"$6,325"
776,,,Vapo,,1,0,3,"$6,309"
777,24.0,Sai Danush,R4ttl3r,,10,4,2,"$6,277"
778,20.0,Nicolas de Val Cruz,Slater,,2,1,0,"$6,267"
779,24.0,Enio Rodrigues,DreeuZ,,2,1,3,"$6,258"
780,,,S4i,,1,0,1,"$6,248"
781,24.0,Sebastian Lewandrowski,Foster,,5,2,2,"$6,240"
782,,,JKR,,0,2,4,"$6,237"
783,22.0,Chiu Ye-song,SongDi,,5,3,1,"$6,224"
784,,,FATAR,,8,8,0,"$6,222"
785,,,Oj,,2,3,3,"$6,192"
786,20.0,Lee Do-hun,Wplly,,0,0,0,"$6,147"
787,,,Vector,,0,4,3,"$6,112"
788,26.0,Ryan Knierim,P3NG,,5,0,0,"$6,096"
789,,,Mengo,,4,1,0,"$6,096"
790,28.0,Alice Duplan,Kitty,,2,0,1,"$6,065"
791,,,ville,,2,1,5,"$6,038"
792,,,Curly,,5,1,2,"$6,012"
793,,,shu,,4,1,4,"$6,007"
794,,,Killer,,1,0,0,"$6,000"
795,32.0,Riku Pöytäkivi,Keittiömestari,,0,1,2,"$6,000"
796,,,Presidnt,,3,0,2,"$5,975"
797,,,Shift,,1,3,2,"$5,937"
798,,,Nick,,4,3,3,"$5,927"
799,23.0,Pedro Monge,BOPE,,1,0,0,"$5,895"
800,,,Guii,,0,4,0,"$5,863"
801,,,Vivid,,2,1,2,"$5,845"
802,,,GrandReaper,,0,0,0,"$5,843"
803,25.0,Francisco Heredia,Hunther,,1,2,4,"$5,824"
804,,,Razorr,,1,1,1,"$5,818"
805,,,EX7,,9,7,3,"$5,813"
806,29.0,Gurman Bains,GurmyWormy,,0,1,0,"$5,788"
807,21.0,Czikai Máté Gábor,Rexhun999,,2,2,12,"$5,782"
